,Name,Academic (1),Affiliations
40633,marco sanfilippo,1,institute for development policy and management (iob) university of antwerp
40634,ghanshyam sharma,0, 
40635,andrej srakar,0,institute for economic research (ier)
40636,andrew sanford,1,department of banking and finance monash business school monash university
40637,gunjan sharma,1,department of economics smith college
40638,ranjan sreedharan,0, 
40639,saadatou alkassoum sangare,0, 
40640,hari sharma,0, 
40641,martin srholec,0,(80%) center for economic research and graduate education and economics institute (cerge-ei)
40642,máximo sangiácomo,0,central bank of the argentine republic
40643,hemant sharma,0, 
40644,songsak sriboonchitta,1,faculty of economics chiang mai university
40645,bahram sanginabadi,1,department of economics university of hawaii-manoa
40646,kalyan raj sharma,1,school of economics fudan university
40647,kala seetharam sridhar,0,institute for social and economic change (isec)
40648,francesco sangiorgi,1,department of finance business school in stockholm
40649,kanhaiya lal sharma,1,school of economics faculty of business and economics university of the south pacific
40650,m. sarma srigowri sanker,1,department of economics business school deakin university
40651,piyapong sangkaew,1,school of management and information sciences university of phayao
40652,manohar p. sharma,0,world bank group
40653,smita srinivas,1,(80%) department of economics open university
40654,marc sangnier,1,aix-marseille school of economics (amse)
40655,parmendra sharma,0,department of accounting
40656,sumati srinivas,1,department of economics radford university
40657,prem sangraula,0,economics research world bank group
40658,pramod sharma,0, 
40659,chittur subramanian srinivasan,1,department of food economics and marketing school of agriculture
40660,pablo sanguinetti,0,departamento de economía universidad torcuato di tella
40661,prateek sharma,0,indian institute of management
40662,jeena t. srinivasan,0,centre for economic and social studies (cess)
40663,bilel sanhaji,1,laboratory of dionysian economy (led) university paris-saint-denis (paris viii)
40664,purushottam sharma,0,icar-indian institute of soybean research (icar-indian institute of soybean research)
40665,naveen srinivasan,1,madras school of economics
40666,claudia sanhueza,1,college of economics and business university diego portals
40667,rakesh sharma,1,gsba college (gsba college)
40668,t. n. srinivasan,1,economic growth center economics department yale university
40669,saifullahi sani ibrahim,0,department of economics & development studies
40670,sandeshika sharma,0, 
40671,pratompong srinuan,0,institutionen teknikens ekonomi och organisation chalmers tekniska högskola
40672,anna sanina,1,department of public administration and local government faculty of management saint petersburg branch national research university higher school of economics
40673,shruti sharma,0,indian institute of management
40674,mankal sriram,0,(75%) centre for public policy (cpp) indian institute of management
40675,"sebastian sanin restrepo, sr.",0,bank of the republic of colombia
40676,shyam sunder sharma prasad,0,national institute of rural development
40677,sorawoot srisuma,1,school of economics university of surrey
40678,maría eugenia sanin vázquez,1,(60%) center for economic policy studies (epee) university of evry val d'essonne
40679,smriti sharma,1,world institute for development economic research (unu/wider) united nations university
40680,preety pratima d. srivastava (nee ramful),1,school of economics
40681,nils saniter,0,(70%) diw berlin (german institute for economic research)
40682,somnath sharma,0,reserve bank of india
40683,r. k. srivastava,0, 
40684,muhammad ryan sanjaya,0,fakultas economic dan bisnis universitas gadjah mada
40685,subhash c. sharma,1,economics department southern illinois university
40686,sadhana srivastava,1,department of economics faculty of business auckland university of technology
40687,leire san-jose,1,(34%) department of financial economics ii faculty of economic and business sciences university of the basque country - euskal herriko unibertsitatea
40688,sunil sharma,0,international monetary fund (imf)
40689,thanes sriwichailamphan,1,faculty of economics chiang mai university
40690,jesús carlos sanjuán,1,department of applied economics (economic structure) faculty of economic and business sciences university of malaga
40691,sunil sharma,0,indian institute of management
40692,stefania środa-murawska,0, 
40693,ana i. sanjuán-lópez,0,joint research center european commission
40694,susan sunila sharma,1,centre for economics and financial econometrics research (cefer) business school deakin university
40695,ilina srour,1,departments and institutes of economic sciences catholic university of the sacred heart
40696,carlos san juan mesonada,1,department of economy university carlos iii of madrid
40697,tridib sharma,0,center of economic research (cie) academic department of economics instituto tecnólogico autónomo de mexico (itam)
40698,sarah ssewanyana,0,economic policy research center (eprc)
40699,ulaganathan sankar,1,madras school of economics
40700,vivek sharma,0, 
40701,christian staat,0,european center for advanced research in economics and statistics (ecares) solvay brussels
40702,chandini sankaran,1,economics department darla moore school of business university of south carolina
40703,paul richard sharp,1,(49%) historical economics and development group (hedg) institute of business and economics south denmark university
